symbol,action,add_shares,price_run,rationale,prev_shares,target_shares,mu_mean_q,mu_sd_q,run_name,run_ts,target_value_usd,target_weight
CG,Keep,0,63.99,"PE_ttm 17.3 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 37.98%; RSI14: 62.4; MACD hist: 0.149; mean=0.28, 30d imbalance=0.00 (pos=0, neg=0); implied=0.43%, rating balance=0.38 (SB=2,B=6,H=6,S=0,SS=2); regime=Mixed, beta_1y=1.75 -> score=-0.30",0,0,0.00106776786419438,0.03521283093221847,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CHE,Keep,0,462.23,"PE_ttm 20.4 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -18.20%; RSI14: 44.5; MACD hist: 0.059; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=26.89%, rating balance=0.75 (SB=1,B=2,H=1,S=0,SS=0); regime=Mixed, beta_1y=0.29 -> score=0.28",0,0,0.06134373651103364,0.08720656579870496,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CHMI,New,396,2.52,"PE_ttm 7.8 vs med 16.5; ROA -0.0% vs med 0.0%; ROE -0.0% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: -15.82%; RSI14: 25.7; MACD hist: -0.052; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=60.00%, rating balance=0.67 (SB=0,B=2,H=1,S=0,SS=0); regime=Mixed, beta_1y=0.80 -> score=0.08",0,396,0.12468265038069815,0.027692307692307686,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,997.92,0.010202010897807015
CIVI,Keep,0,33.29,"PE_ttm 4.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 9.73%; RSI14: 33.9; MACD hist: -0.394; Empty news feed; implied=28.22%, rating balance=0.44 (SB=2,B=5,H=9,S=0,SS=0); regime=Mixed, beta_1y=1.78 -> score=-0.31",0,0,0.0641177081801727,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CLDX,Keep,0,26.14,"ROA -0.2% vs med 0.0%; ROE -0.3% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 14.83%; RSI14: 65.9; MACD hist: 0.101; mean=0.10, 30d imbalance=0.00 (pos=0, neg=0); implied=126.27%, rating balance=0.87 (SB=2,B=11,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.09 -> score=-0.04",0,0,0.22646554078188896,0.08981981981981971,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CLS,Keep,0,243.79,"PE_ttm 53.8 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.3% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 77.13%; RSI14: 79.9; MACD hist: 0.678; mean=0.28, 30d imbalance=0.00 (pos=0, neg=0); implied=-9.22%, rating balance=0.87 (SB=5,B=8,H=2,S=0,SS=0); regime=Mixed, beta_1y=2.09 -> score=-0.44",0,0,-0.023880458052255027,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CMPS,Keep,0,5.8,"ROA -0.4% vs med 0.0%; ROE -0.7% vs med 0.1%; Trend: bullish; 3M momentum: 99.21%; RSI14: 64.1; MACD hist: -0.028; mean=0.17, 30d imbalance=0.00 (pos=0, neg=0); implied=195.63%, rating balance=0.90 (SB=4,B=5,H=1,S=0,SS=0); regime=Mixed, beta_1y=1.32 -> score=-0.13",0,0,0.25,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
COP,Keep,0,98.48,"PE_ttm 12.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.2% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: 2.93%; RSI14: 32.2; MACD hist: -0.291; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=26.32%, rating balance=0.85 (SB=7,B=15,H=4,S=0,SS=0); regime=Mixed, beta_1y=0.91 -> score=0.04",25,25,0.060158505001527196,0.13454235811111576,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,2462.0,0.025169703814334688
COUR,Keep,0,11.72,"PE_ttm 47.6 vs med 16.5; ROA -0.0% vs med 0.0%; ROE -0.1% vs med 0.1%; Revenue TTM positive; Trend: bullish; 3M momentum: 38.69%; RSI14: 60.9; MACD hist: 0.044; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=2.77%, rating balance=0.47 (SB=2,B=6,H=6,S=1,SS=0); regime=Mixed, beta_1y=1.00 -> score=-0.00",200,200,0.006861822555596309,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,2344.0,0.023963357327701263
CPRX,New,51,19.52,"PE_ttm 8.3 vs med 16.5; ROA 0.2% vs med 0.0%; ROE 0.3% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -9.15%; RSI14: 44.5; MACD hist: 0.037; mean=0.30, 30d imbalance=0.00 (pos=0, neg=0); implied=71.02%, rating balance=1.00 (SB=1,B=6,H=0,S=0,SS=0); regime=Mixed, beta_1y=0.88 -> score=0.05",0,51,0.14357137801093245,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,995.52,0.01017747503706193
CRM,Keep,0,243.43,"PE_ttm 23.4 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -7.92%; RSI14: 47.1; MACD hist: 0.299; Empty news feed; implied=34.04%, rating balance=0.76 (SB=9,B=34,H=11,S=0,SS=1); regime=Mixed, beta_1y=1.06 -> score=-0.03",0,0,0.07598731835027683,0.06885541722480548,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CRNT,Keep,0,2.37,"PE_ttm 9.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: 0.41%; RSI14: 85.1; MACD hist: 0.067; mean=0.25, 30d imbalance=0.00 (pos=0, neg=0); implied=92.31%, rating balance=1.00 (SB=1,B=4,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.48 -> score=-0.19",0,0,0.17760370692481797,0.04586663207057596,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CRNX,Keep,0,45.91,"ROA -0.2% vs med 0.0%; ROE -0.4% vs med 0.1%; Revenue TTM positive; Trend: neutral; 3M momentum: 8.99%; RSI14: 51.8; MACD hist: -0.133; mean=0.18, 30d imbalance=0.00 (pos=0, neg=0); implied=107.59%, rating balance=0.88 (SB=5,B=10,H=2,S=0,SS=0); regime=Mixed, beta_1y=1.15 -> score=-0.06",0,0,0.20033541138856603,0.15,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CRTO,Keep,0,22.25,"PE_ttm 4.7 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bearish; 3M momentum: -8.96%; RSI14: 37.5; MACD hist: -0.089; mean=0.26, 30d imbalance=0.00 (pos=0, neg=0); implied=70.86%, rating balance=0.69 (SB=0,B=9,H=4,S=0,SS=0); regime=Mixed, beta_1y=1.12 -> score=-0.05",150,150,0.14329880035106957,0.13859231992132226,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,3337.5,0.03412018134863608
CSTM,Keep,0,15.33,"PE_ttm 60.0 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.0% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 15.52%; RSI14: 61.4; MACD hist: 0.096; mean=0.23, 30d imbalance=0.00 (pos=0, neg=0); implied=22.80%, rating balance=1.00 (SB=1,B=3,H=0,S=0,SS=0); regime=Mixed, beta_1y=1.53 -> score=-0.21",0,0,0.05269791614383035,0.09102785457200986,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
CTRA,Keep,0,23.83,"PE_ttm 11.1 vs med 16.5; ROA 0.1% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: neutral; 3M momentum: -13.84%; RSI14: 29.8; MACD hist: -0.096; mean=0.19, 30d imbalance=0.00 (pos=0, neg=0); implied=43.20%, rating balance=0.80 (SB=7,B=13,H=5,S=0,SS=0); regime=Mixed, beta_1y=0.70 -> score=0.12",170,170,0.09392709734709204,0.03381631647392113,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,4051.1,0.04141551061017516
CVE,Keep,0,17.77,"PE_ttm 18.2 vs med 16.5; ROA 0.0% vs med 0.0%; ROE 0.1% vs med 0.1%; EPS positive; Revenue TTM positive; Trend: bullish; 3M momentum: 24.65%; RSI14: 51.6; MACD hist: -0.016; mean=0.21, 30d imbalance=0.00 (pos=0, neg=0); implied=-10.88%, rating balance=0.87 (SB=7,B=7,H=0,S=0,SS=1); regime=Mixed, beta_1y=1.10 -> score=-0.04",0,0,-0.028395628471245216,0.02,RunManual-KNN-20250927-2043UTC,20250927-2043UTC,0.0,0.0
